출하일자,주문Code1,Sku Code,상품명,박스당PCS,총수량,가로(mm),세로(mm),높이(mm),오더번호,pcs출하
2023.03.07,B2C(택배),W00301,艾多美 洗面乳 1瓶,40,4,143,96,132,723030501912 ,4
2023.03.07,B2C(택배),W00531,艾多美 愛丹 1瓶,54,5,143,96,132,723030501912 ,5
2023.03.07,B2C(택배),W00261,艾多美 BB霜 1瓶,91,2,143,96,132,723030503159 ,2
2023.03.07,B2C(택배),W00276,艾多美 凝萃煥膚防曬乳,70,4,48,23,138,723030503159 ,4
2023.03.07,B2C(택배),W00501,艾多美 牙膏200g(5條)*1組,10,3,143,96,132,723030503159 ,3
2023.03.07,B2C(택배),W00198,艾多美 經典營養霜,54,1,71,72,63,723030504200 ,1
2023.03.07,B2C(택배),W00510,艾多美 牙刷(大型刷頭) 1組 (8支),30,1,245,125,48,723030504200 ,1
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,1,310,110,212,723030504200 ,1
2023.03.07,B2C(택배),W90174,艾多美 洋薊膠囊,50,1,105,65,100,723030504200 ,1
2023.03.07,B2C(택배),W00975,艾多美 阿拉比卡即溶黑咖啡,9,1,190,130,95,723030504200 ,1
2023.03.07,B2C(택배),W00510,艾多美 牙刷(大型刷頭) 1組 (8支),30,1,245,125,48,723030505078 ,1
2023.03.07,B2C(택배),W00528,艾多美 男士全效洗髮沐浴露,15,1,71,71,210,723030505078 ,1
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,1,310,110,212,723030505078 ,1
2023.03.07,B2C(택배),W90873,艾多美 銀離子柔濕巾-20抽,15,1,250,150,130,723030505078 ,1
2023.03.07,B2C(택배),W00631,艾多美 沐浴乳 1瓶,8,1,143,96,132,723030505078 ,1
2023.03.07,B2C(택배),W00247,艾多美 凝萃煥膚 乳液,42,1,55,55,187,723030505526 ,1
2023.03.07,B2C(택배),W00217,艾多美 凝萃煥膚 化妝水,42,1,55,55,187,723030505526 ,1
2023.03.07,B2C(택배),W00178,艾多美 螺旋藻膠囊 100%,80,2,60,60,121,723030505527 ,2
2023.03.07,B2C(택배),W00183,艾多美 石榴美人果凍,14,1,205,70,160,723030505527 ,1
2023.03.07,B2C(택배),W90943,艾多美 美妍膠原飲,12,5,13,7,10,723030505527 ,5
2023.03.07,B2C(택배),W00591,艾多美 精油 貼布 1盒(11包*5片),20,2,225,165,60,723030505561 ,2
2023.03.07,B2C(택배),W90822,艾多美 PTFE薄膜口罩 無鼻樑條款(XL)-尊王藍,60,1,215,110,52,723030505561 ,1
2023.03.07,B2C(택배),W00631,艾多美 沐浴乳 1瓶,8,3,143,96,132,723030505561 ,3
2023.03.07,B2C(택배),W00227,艾多美 凝萃煥膚 安瓶,42,1,50,50,120,723030600001 ,1
2023.03.07,B2C(택배),W00121,艾多美 維他命C粉,20,1,111,90,136,723030600001 ,1
2023.03.07,B2C(택배),W00531,艾多美 愛丹 1瓶,54,1,143,96,132,723030600006 ,1
2023.03.07,B2C(택배),W00170,艾多美 諾麗果發酵液,6,4,15,12,36,723030600006 ,4
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,4,310,110,212,723030600160 ,4
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,6,310,110,212,723030600160 ,6
2023.03.07,B2C(택배),W00160,艾多美 益生菌 60包入,24,1,110,65,110,723030600160 ,1
2023.03.07,B2C(택배),W02618,艾多美 產品介紹摺頁(10張),100,1,255,165,2,723030600217 ,1
2023.03.07,B2C(택배),W92619,艾多美 產品型錄,30,1,10,10,10,723030600217 ,1
2023.03.07,B2C(택배),W90906,艾多美 香烤海苔(大片裝),40,8,320,240,40,723030600217 ,8
2023.03.07,B2C(택배),W00267,艾多美 凝萃煥膚 營養霜,72,1,70,70,62,723030600292 ,1
2023.03.07,B2C(택배),W00801,艾多美 碗盤蔬果洗潔液,12,1,90,80,240,723030600292 ,1
2023.03.07,B2C(택배),W90873,艾多美 銀離子柔濕巾-20抽,15,1,250,150,130,723030600292 ,1
2023.03.07,B2C(택배),W00835,艾多美 304不鏽鋼絲球,100,1,215,119,30,723030600292 ,1
2023.03.07,B2C(택배),W90189,艾多美 玻尿酸深層卸妝濕巾,36,3,143,96,132,723030600292 ,3
2023.03.07,B2C(택배),W00834,艾多美 乳膠手套(L),60,1,500,171,50,723030600292 ,1
2023.03.07,B2C(택배),W02406,會員加入申請書1ea,40,30,225,323,5,723030600443 ,30
2023.03.07,B2C(택배),W00564,艾多美 輕柔棉28cm,12,1,240,74,178,723030600443 ,1
2023.03.07,B2C(택배),W00554,艾多美 輕柔棉24cm,12,1,187,67,186,723030600443 ,1
2023.03.07,B2C(택배),W90879,艾多美 隨行袖珍包,16,1,220,70,180,723030600443 ,1
2023.03.07,B2C(택배),W90878,艾多美 抽取式廚房紙巾,16,1,310,110,212,723030600443 ,1
2023.03.07,B2C(택배),W00641,艾多美 身體乳液 1瓶,40,1,143,96,132,723030600443 ,1
2023.03.07,B2C(택배),W00769,艾多美 淡化平衡調理液,60,1,45,45,120,723030600443 ,1
2023.03.07,B2C(택배),W00266,艾多美 珠光隔離乳,70,1,38,38,130,723030600613 ,1
2023.03.07,B2C(택배),W00521,艾多美 蜂膠牙膏50g 1組(4條),60,2,100,30,170,723030600613 ,2
2023.03.07,B2C(택배),W00511,艾多美 牙刷(小型刷頭) 1組 (8支),30,1,245,105,48,723030600613 ,1
2023.03.07,B2C(택배),W00301,艾多美 洗面乳 1瓶,40,2,143,96,132,723030600613 ,2
2023.03.07,B2C(택배),W00483,艾多美 月桂保濕噴霧,54,1,34,34,160,723030600613 ,1
2023.03.07,B2C(택배),W00517,艾多美 兒童牙刷,30,1,145,30,170,723030600613 ,1
2023.03.07,B2C(택배),W90873,艾多美 銀離子柔濕巾-20抽,15,1,250,150,130,723030600886 ,1
2023.03.07,B2C(택배),W00554,艾多美 輕柔棉24cm,12,2,187,67,186,723030600886 ,2
2023.03.07,B2C(택배),W00828,艾多美 濃縮洗衣粉,5,1,320,110,330,723030600886 ,1
2023.03.07,B2C(택배),W00160,艾多美 益生菌 60包入,24,1,110,65,110,723030600886 ,1
2023.03.07,B2C(택배),W90943,艾多美 美妍膠原飲,12,2,13,7,10,723030600886 ,2
2023.03.07,B2C(택배),W00174,艾多美 膠囊葉黃素30,84,1,41,41,84,723030601233 ,1
2023.03.07,B2C(택배),W00756,艾多美 水嫩亮白乳霜,54,1,63,63,57,723030601233 ,1
2023.03.07,B2C(택배),W00755,艾多美 水嫩亮白精華液,54,1,48,50,180,723030601233 ,1
2023.03.07,B2C(택배),W00641,艾多美 身體乳液 1瓶,40,2,143,96,132,723030601233 ,2
2023.03.07,B2C(택배),W00257,艾多美 凝萃煥膚 眼霜,112,1,65,65,56,723030601933 ,1
2023.03.07,B2C(택배),W00217,艾多美 凝萃煥膚 化妝水,42,1,55,55,187,723030601933 ,1
2023.03.07,B2C(택배),W00227,艾多美 凝萃煥膚 安瓶,42,1,50,50,120,723030601933 ,1
2023.03.07,B2C(택배),W00973,艾多美 阿拉比卡三合一即溶咖啡50入,12,1,170,75,172,723030602508 ,1
2023.03.07,B2C(택배),W90915,艾多美 麥盧卡蜂蜜MGO830+,6,1,63,63,87,723030602508 ,1
2023.03.07,B2C(택배),W00591,艾多美 精油 貼布 1盒(11包*5片),20,2,225,165,60,723030602508 ,2
2023.03.07,B2C(택배),W90672,艾多美 泡泡染髮乳-琥珀棕,48,3,115,50,145,723030603068 ,3
2023.03.07,B2C(택배),W00160,艾多美 益生菌 60包入,24,1,110,65,110,723030603068 ,1
2023.03.07,B2C(택배),W00501,艾多美 牙膏200g(5條)*1組,10,1,143,96,132,723030603068 ,1
2023.03.07,B2C(택배),W00521,艾多美 蜂膠牙膏50g 1組(4條),60,1,100,30,170,723030603068 ,1
2023.03.07,B2C(택배),W00510,艾多美 牙刷(大型刷頭) 1組 (8支),30,1,245,125,48,723030603068 ,1
2023.03.07,B2C(택배),W00190,艾多美 經典化妝水,54,1,53,54,179,723030603344 ,1
2023.03.07,B2C(택배),W00301,艾多美 洗面乳 1瓶,40,1,143,96,132,723030603344 ,1
